year,month,day,airline,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,flight_duration
2022,12,2,AirlineA,9279,IAH,LAS,81,224,241
2021,9,15,AirlineB,8668,ORD,BOS,443,225,122
2022,9,4,AirlineA,2982,JFK,DEN,212,140,461
2022,8,7,AirlineD,9279,ORD,MSP,-28,369,316
2022,5,14,AirlineE,2049,SLC,SFO,164,273,267
2021,10,24,AirlineE,9279,PHX,MIA,21,568,533
2023,9,6,AirlineA,3504,LAX,SFO,40,579,114
2023,4,13,AirlineA,2290,ATL,MIA,53,399,718
2023,10,17,AirlineC,5010,ATL,LAS,214,241,450
2021,11,21,AirlineC,5808,PHX,DEN,-21,439,681
2023,2,3,AirlineE,7227,DFW,SFO,327,40,295
2022,5,6,AirlineD,2832,DFW,MIA,537,276,151
2021,5,4,AirlineA,4981,ORD,BOS,258,589,260
2023,6,7,AirlineC,4258,SLC,BOS,22,64,694
2022,5,2,AirlineA,8517,ORD,BOS,135,422,609
2023,7,18,AirlineA,3547,LAX,SFO,528,6,423
2023,9,5,AirlineD,2519,JFK,BOS,343,10,411
2021,11,8,AirlineA,9830,IAH,SFO,212,136,226
2022,1,6,AirlineC,2040,ATL,BOS,133,80,436
2021,8,8,AirlineB,5808,PHX,BOS,203,198,69
2023,4,13,AirlineC,4598,LAX,BOS,329,491,454
2023,9,11,AirlineA,4527,DFW,SFO,564,241,84
2021,10,14,AirlineC,4510,PHX,MSP,590,493,163
2022,10,7,AirlineC,1488,IAH,MIA,502,521,246
2022,7,3,AirlineC,4295,PHX,DEN,277,489,361
2023,7,11,AirlineD,2104,DFW,SFO,166,400,433
2023,12,6,AirlineE,2290,DFW,MSP,531,-30,356
2022,4,14,AirlineE,9645,PHX,CLT,422,422,263
2023,8,26,AirlineB,4681,LAX,BOS,497,313,140
2021,11,10,AirlineB,5741,ORD,MIA,17,220,531
2023,2,15,AirlineD,7537,ATL,MSP,476,379,294
2021,11,23,AirlineA,7669,LAX,MSP,194,150,575
2022,1,18,AirlineB,2674,SLC,SFO,445,513,617
2023,6,25,AirlineD,7932,IAH,CLT,132,456,505
2022,4,27,AirlineC,8062,SLC,SEA,251,420,124
2023,5,8,AirlineC,8517,PHX,DEN,111,124,281
2022,12,5,AirlineB,1434,IAH,MSP,308,525,522
2022,1,7,AirlineD,2489,JFK,MSP,458,-24,405
2022,7,28,AirlineD,9005,ATL,CLT,194,249,491
2022,1,13,AirlineC,1344,IAH,SFO,448,100,682
2023,1,13,AirlineE,4946,JFK,DEN,408,108,517
2021,1,9,AirlineD,9179,ATL,CLT,304,315,433
2022,7,9,AirlineA,8433,JFK,MIA,328,199,710
2021,11,2,AirlineA,2169,ATL,MIA,126,214,174
2022,11,4,AirlineE,5554,SLC,BOS,347,141,665
2023,12,23,AirlineA,7735,ORD,BOS,80,562,71
2022,10,22,AirlineD,2796,ATL,DEN,576,218,149
2023,5,28,AirlineE,6514,JFK,LAS,515,408,424
2021,9,21,AirlineC,5012,IAH,CLT,78,413,415
2023,8,23,AirlineB,1188,ORD,BOS,600,521,540
2022,7,27,AirlineE,8573,PHX,SEA,58,255,506
2021,8,19,AirlineE,1344,IAH,LAS,-1,476,377
2021,8,7,AirlineC,5010,PHX,BOS,580,252,614
2021,9,7,AirlineA,4432,IAH,CLT,538,216,532
2023,12,16,AirlineD,4657,LAX,BOS,196,384,294
2022,11,19,AirlineC,1053,PHX,MSP,533,308,405
2023,8,9,AirlineC,3803,ATL,DEN,167,293,167
2023,9,25,AirlineB,4733,ATL,CLT,253,573,582
2023,5,4,AirlineB,1525,ATL,LAS,153,279,59
2023,9,5,AirlineC,1488,JFK,BOS,99,472,150
2021,10,10,AirlineD,5315,SLC,LAS,158,22,303
2022,2,27,AirlineA,3504,SLC,DEN,560,24,200
2021,10,10,AirlineA,2169,LAX,MSP,590,580,678
2021,9,13,AirlineD,9797,DFW,MSP,282,552,680
2021,10,24,AirlineA,2588,ATL,SEA,240,53,205
2021,3,18,AirlineA,9785,JFK,MSP,431,578,526
2022,1,8,AirlineC,6413,DFW,CLT,42,209,315
2023,10,22,AirlineB,8668,LAX,SEA,122,242,190
2021,1,6,AirlineC,8787,DFW,CLT,97,449,356
2023,7,9,AirlineE,1319,SLC,CLT,52,582,85
2022,12,11,AirlineE,3803,JFK,DEN,204,559,646
2021,11,27,AirlineC,8962,JFK,SFO,451,501,712
2022,5,6,AirlineE,1188,SLC,DEN,451,326,463
2022,6,22,AirlineA,3045,PHX,MSP,477,265,455
2023,1,15,AirlineA,4456,DFW,LAS,88,383,571
2021,11,28,AirlineE,8123,IAH,MIA,162,500,415
2023,8,21,AirlineD,2545,JFK,SEA,243,532,179
2022,8,23,AirlineD,2674,JFK,SEA,132,288,609
2021,9,14,AirlineA,6977,LAX,CLT,90,127,555
2023,5,17,AirlineC,7304,SLC,CLT,219,437,609
2021,7,7,AirlineE,3504,ORD,DEN,252,394,393
2023,5,27,AirlineA,6313,DFW,CLT,122,427,596
2022,6,11,AirlineE,2588,IAH,CLT,299,163,289
2023,7,8,AirlineD,1488,PHX,CLT,360,365,712
2021,8,2,AirlineB,9317,PHX,DEN,420,72,583
2022,1,24,AirlineB,7916,ORD,DEN,450,241,391
2023,12,13,AirlineA,7482,IAH,LAS,469,524,81
2023,2,8,AirlineC,3664,LAX,MSP,70,72,499
2021,12,10,AirlineA,1488,PHX,MIA,270,337,428
2022,3,8,AirlineE,2040,ORD,SFO,149,50,669
2022,10,22,AirlineB,5889,ORD,SEA,442,230,515
2022,11,1,AirlineD,1916,ORD,DEN,422,323,646
2022,11,14,AirlineC,2827,DFW,SEA,363,464,154
2021,7,19,AirlineC,8962,DFW,BOS,-8,375,326
2021,10,28,AirlineA,9645,SLC,BOS,205,591,405
2021,11,7,AirlineE,3803,ORD,DEN,10,286,496
2021,10,12,AirlineB,1106,DFW,LAS,395,149,250
2021,9,12,AirlineE,9317,DFW,SFO,233,463,347
2023,6,26,AirlineA,3591,LAX,SFO,201,376,615
2022,2,26,AirlineD,5012,DFW,DEN,435,347,313
2023,7,27,AirlineC,5552,ATL,CLT,-5,544,380
2023,4,21,AirlineA,7118,SLC,BOS,388,89,188
2021,1,10,AirlineD,4527,LAX,SEA,520,108,442
2022,6,22,AirlineE,7252,ORD,MSP,71,471,675
2022,5,2,AirlineC,5554,SLC,CLT,211,341,146
2023,6,18,AirlineC,9279,IAH,BOS,164,95,510
2021,11,7,AirlineE,3286,JFK,LAS,219,98,623
2021,2,27,AirlineE,2654,ATL,SEA,306,121,655
2021,5,28,AirlineB,7224,DFW,SFO,82,-4,179
2021,6,26,AirlineB,3060,PHX,MIA,148,241,98
2021,12,14,AirlineE,4527,LAX,CLT,429,340,570
2023,2,15,AirlineE,8428,JFK,BOS,439,1,107
